name,artist,tuning
The Nomad,Calum Graham,D A D G B E
Phoenix Rising,Calum Graham,C E B E B E
Waiting,Calum Graham,Db Ab Eb F Ab Eb
Indivisible,Calum Graham,F A C G C E
It is what it is,Calum Graham,C F C F C C
Three Way Street,Calum Graham,B G D E B C
12:34,Calum Graham,D G D F# Ab D
Tabula Rasa,Calum Graham,D A C# D Ab Eb
Farewell,Calum Graham,D G D G B Eb
Whiskey Sunrise,Calum Graham,E A D G B E
Waiting For You,Daniel Padim,B F# C# F# B F#
Feeling Higher,Daniel Padim,B F# C# F# B F#
Pursuing the Horizon,Donovan Raitt,D A C G A E
Ocean,John Butler,C G C G C E
Neon,John Mayer,C A D G B E
Wujan Motorcycle Kid,Jon Gomm,A E B E G B
Afterglow,Jon Gomm,C A F C F A#
Passionflower,Jon Gomm,F A C G A C
Orville,Jon Gomm,C G D G B D
Telepathy,Jon Gomm,A E B E G B
The Battle of WonderLand,Spencer Elliot,C G D G B E
First Flight,Spencer Elliot,C G D G B C
Elipsos,Spencer Elliot,D G D F A D
Carousel,Spencer Elliot,C G D G A# D
Insignificant,Spencer Elliot,B F# D F# B D
Some Forgotten Color (Baritone),Spencer Elliot,C E A D F# B
The Wolf and the Hawk,Spencer Elliot,C G D F C E
The Tournament,Spencer Elliot,A E C G A E
Rain Shadow,Spencer Elliot,A E C G A E
Time Stands Still (Baritone),Spencer Elliot,G D A B D B
Yin,Spencer Elliot,C# G# C# E B D#
Torque,Spencer Elliot,C G C G A# C
Unspoken,Spencer Elliot,A F C G B C
Off The Path,Tobias Rauscher,C G D G A# D
On The Run,Tobias Rauscher,D F# D F# A B
Hutton Drive,Tobias Rauscher,Eb Bb D G B F
Memories,Tobias Rauscher,Eb G D G Bb D
Acousticore,Tobias Rauscher,C G C G C D
Coming Home,Tobias Rauscher,E C D G A D
Still Awake,Tobias Rauscher,D# G D G A# D
Perspectives,Tobias Rauscher,E A D G B D
The Future,Luca Stricagnoli,C G C D G C
Encomium (Reverie),Mike Dawes,B F# C# D A D
The Old Room,Mike Dawes,B F# C# D A D
Boogie Slam,Mike Dawes,A# A# D# F A# D#
Overload,Mike Dawes,C# G# C# F# G# C#
Somebody That I Used To Know,Mike Dawes,C A D G A D
Air Ground,Antoine Dufour,Eb Bb C G Bb D
Electromagnetic Sun Powered Starship,Antoine Dufour,Eb Bb C G Bb D
Deja Vu,Antoine Dufour,C# G# E F# B D#
Overlay,Antoine Dufour,D A D G B E
Drowning,Antoine Dufour,D A E F C E
Auto Reverse,Antoine Dufour,C G C G C E
Lost in Your Eyes,Antoine Dufour,E A C G B D
To Run in a Dream,Antoine Dufour,C G D G B E
Spirits in the Material World,Antoine Dufour,E A C G B E
In my Own Rhythms,Antoine Dufour,D A E F# C# D
Hide and Seek,Antoine Dufour,D A E G# A E
South side of the Sky,Antoine Dufour,E A D G B E
So Little While Road,Antoine Dufour,F Ab C Db Bb F
The Drive Within,Antoine Dufour,Eb Bb D Eb Bb F
Cold Day,Antoine Dufour,C# G# E G# C# D#
Life in Technicolor,Antoine Dufour,C# A B G# B E
